"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","345","Favicon загружается @minor","chaika","2026-09-06","failed","2026-09-06","","11-ssl-meta.spec.js","",""
"","885","Турнирная таблица /season/tournament_tables/ — нет JS-ошибок в консоли @major","chaika","2026-09-06","failed","2026-09-06","","09-console-errors.spec.js","",""
"","362","Видео: категория «Хайлайты» не пустая @major","chaika","2026-09-06","failed","2026-09-06","","15-video-categories.spec.js","",""
"","844","Главная / — нет JS-ошибок в консоли @major","chaika","2026-09-06","failed","2026-09-06","","09-console-errors.spec.js","",""
"","725","/season/calendar/ — заголовки используют Rodchenko @minor","chaika","2026-09-06","failed","2026-09-06","","06-fonts.spec.js","",""
"","710","Видео — есть хотя бы 10 видео @major","chaika","2026-09-06","failed","2026-09-06","","02-content.spec.js","",""
"","358","Новости /news/ — нет JS-ошибок в консоли @major","chaika","2026-09-06","failed","2026-09-06","","09-console-errors.spec.js","",""
"","204","Видео: количество на dev ≈ prod (отклонение ≤10%) @major","chaika","2026-09-06","failed","2026-09-06","","15-video-categories.spec.js","",""
"","684","Изображения загружены на /coaches/ @minor","chaika","2026-09-06","failed","2026-09-06","","04-visual.spec.js","",""
"","348","Блок «Предыдущий матч» — страница матча открывается @critical","chaika","2026-09-06","failed","2026-09-06","","19-match-details.spec.js","",""
"","361","Состав — есть хотя бы 10 игроков @major","chaika","2026-09-06","failed","2026-09-06","","02-content.spec.js","",""
"","358","Блок «Следующий матч» — отображается или скрыт без ошибок @critical","chaika","2026-09-06","failed","2026-09-06","","12-next-match.spec.js","",""
"","355","Новости — есть хотя бы одна @major","chaika","2026-09-06","failed","2026-09-06","","02-content.spec.js","",""
"","368","Видео: категория «Игроки» не пустая @major","chaika","2026-09-06","failed","2026-09-06","","15-video-categories.spec.js","",""
"","387","/video/ — заголовки используют Rodchenko @minor","chaika","2026-09-06","failed","2026-09-06","","06-fonts.spec.js","",""
"","857","Страница / не содержит серверных ошибок в HTML @major","chaika","2026-09-06","failed","2026-09-06","","02-content.spec.js","",""
"","352","Кнопка «КУПИТЬ АБОНЕМЕНТ» работает @critical","chaika","2026-09-06","failed","2026-09-06","","18-tickets.spec.js","",""
"","355","Руководство /leaders/ отвечает 200 @critical","chaika","2026-09-06","failed","2026-09-06","","01-availability.spec.js","",""
"","346","Видео /video/ отвечает 200 @critical","chaika","2026-09-06","failed","2026-09-06","","01-availability.spec.js","",""
"","357","Персонал — есть хотя бы 5 человек @major","chaika","2026-09-06","failed","2026-09-06","","02-content.spec.js","",""
"","372","/news/ — текст использует Play @minor","chaika","2026-09-06","failed","2026-09-06","","06-fonts.spec.js","",""
"","620","Блок «Следующий матч» — логотипы команд загружены @major","chaika","2026-09-06","failed","2026-09-06","","12-next-match.spec.js","",""
