"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","276","/online/broadcasts/2025-10/ — HTTP 200 @minor","gorky","2026-06-21","failed","2026-06-21","","17-broadcasts.spec.js","",""
"","281","/tickets/ — заголовки используют Rodchenko @minor","gorky","2026-06-21","failed","2026-06-21","","06-fonts.spec.js","",""
"","266","Статистика — таблица бомбардиров не пустая @major","gorky","2026-06-21","failed","2026-06-21","","02-content.spec.js","",""
"","290","Страница / не содержит серверных ошибок в HTML @major","gorky","2026-06-21","failed","2026-06-21","","02-content.spec.js","",""
"","274","Новости /news/ — нет JS-ошибок в консоли @major","gorky","2026-06-21","failed","2026-06-21","","09-console-errors.spec.js","",""
"","289","Турнирная таблица /season/tournament_tables/ — нет JS-ошибок в консоли @major","gorky","2026-06-21","failed","2026-06-21","","09-console-errors.spec.js","",""
"","276","Изображения загружены на /teamroster/ @minor","gorky","2026-06-21","failed","2026-06-21","","04-visual.spec.js","",""
"","282","/season/calendar/ — заголовки используют Rodchenko @minor","gorky","2026-06-21","failed","2026-06-21","","06-fonts.spec.js","",""
"","273","История /history/ отвечает 200 @critical","gorky","2026-06-21","failed","2026-06-21","","01-availability.spec.js","",""
"","275","Главная — <title> заполнен @major","gorky","2026-06-21","failed","2026-06-21","","11-ssl-meta.spec.js","",""
"","46","API: турнирная таблица содержит Торпедо @critical @khl-sync","gorky","2026-06-21","failed","2026-06-21","","14-khl-sync.spec.js","",""
"","269","Страница /season/calendar/ не содержит серверных ошибок в HTML @major","gorky","2026-06-21","failed","2026-06-21","","02-content.spec.js","",""
"","630","Главная / отвечает 200 @critical","gorky","2026-06-21","failed","2026-06-21","","01-availability.spec.js","",""
"","63","API: список игроков ≥25 @critical @khl-sync","gorky","2026-06-21","failed","2026-06-21","","14-khl-sync.spec.js","",""
"","276","Блок «Следующий матч» — отображается или скрыт без ошибок @critical","gorky","2026-06-21","failed","2026-06-21","","12-next-match.spec.js","",""
"","265","Изображения загружены на /news/ @minor","gorky","2026-06-21","failed","2026-06-21","","04-visual.spec.js","",""
"","260","Видео: категория «Поехали» не пустая @major","gorky","2026-06-21","failed","2026-06-21","","15-video-categories.spec.js","",""
"","290","Новости — есть хотя бы одна @major","gorky","2026-06-21","failed","2026-06-21","","02-content.spec.js","",""
"","53","API: тренерский штаб ≥5 @major @khl-sync","gorky","2026-06-21","failed","2026-06-21","","14-khl-sync.spec.js","",""
"","277","Видео: категория «Промо» не пустая @major","gorky","2026-06-21","failed","2026-06-21","","15-video-categories.spec.js","",""
"","46","API: статистика игроков доступна @major @khl-sync","gorky","2026-06-21","failed","2026-06-21","","14-khl-sync.spec.js","",""
"","271","Видео: категория «LIVE» не пустая @major","gorky","2026-06-21","failed","2026-06-21","","15-video-categories.spec.js","",""
"","270","Infobar (sticky) — данные совпадают с блоком «Следующий матч» @major","gorky","2026-06-21","failed","2026-06-21","","12-next-match.spec.js","",""
"","280","Руководство /leaders/ отвечает 200 @critical","gorky","2026-06-21","failed","2026-06-21","","01-availability.spec.js","",""
"","299","/season/calendar/ — текст использует Play @minor","gorky","2026-06-21","failed","2026-06-21","","06-fonts.spec.js","",""
"","277","Календарь /season/calendar/ — нет JS-ошибок в консоли @major","gorky","2026-06-21","failed","2026-06-21","","09-console-errors.spec.js","",""
"","355","/online/broadcasts/2025-11/ — HTTP 200 @minor","gorky","2026-06-21","failed","2026-06-21","","17-broadcasts.spec.js","",""
"","280","Логотип Торпедо в header загружен @major","gorky","2026-06-21","failed","2026-06-21","","04-visual.spec.js","",""
"","276","Страница /tickets/ открывается и содержит контент @critical","gorky","2026-06-21","failed","2026-06-21","","03-functional.spec.js","",""
"","269","Изображения загружены на главной @minor","gorky","2026-06-21","failed","2026-06-21","","04-visual.spec.js","",""
"","476","Школа /school/ отвечает 200 @critical","gorky","2026-06-21","failed","2026-06-21","","01-availability.spec.js","",""
"","305","/tickets/ — текст использует Play @minor","gorky","2026-06-21","failed","2026-06-21","","06-fonts.spec.js","",""
"","285","Главная / — нет JS-ошибок в консоли @major","gorky","2026-06-21","failed","2026-06-21","","09-console-errors.spec.js","",""
"","272","Состав — <title> заполнен @major","gorky","2026-06-21","failed","2026-06-21","","11-ssl-meta.spec.js","",""
"","279","Фотогалерея — есть хотя бы 1 альбом @major","gorky","2026-06-21","failed","2026-06-21","","02-content.spec.js","",""
"","280","Страница /teamroster/ не содержит серверных ошибок в HTML @major","gorky","2026-06-21","failed","2026-06-21","","02-content.spec.js","",""
"","297","Состав /teamroster/ отвечает 200 @critical","gorky","2026-06-21","failed","2026-06-21","","01-availability.spec.js","",""
"","512","Новости /news/ отвечает 200 @critical","gorky","2026-06-21","failed","2026-06-21","","01-availability.spec.js","",""
"","546","Матчи /season/matches/ отвечает 200 @critical","gorky","2026-06-21","failed","2026-06-21","","01-availability.spec.js","",""
"","47","API: расписание сезона доступно @major @khl-sync","gorky","2026-06-21","failed","2026-06-21","","14-khl-sync.spec.js","",""
"","309","Favicon загружается @minor","gorky","2026-06-21","failed","2026-06-21","","11-ssl-meta.spec.js","",""
"","281","/video/ — текст использует Play @minor","gorky","2026-06-21","failed","2026-06-21","","06-fonts.spec.js","",""
"","271","/ — заголовки используют Rodchenko @minor","gorky","2026-06-21","failed","2026-06-21","","06-fonts.spec.js","",""
"","269","Турнирная таблица — содержит Торпедо @major","gorky","2026-06-21","failed","2026-06-21","","02-content.spec.js","",""
"","51","Сайт доступен по HTTPS @critical","gorky","2026-06-21","failed","2026-06-21","","11-ssl-meta.spec.js","",""
"","304","/contacts/ — текст использует Play @minor","gorky","2026-06-21","failed","2026-06-21","","06-fonts.spec.js","",""
"","1009","Легенды /legends/ отвечает 200 @critical","gorky","2026-06-21","failed","2026-06-21","","01-availability.spec.js","",""
"","271","/news/ — заголовки используют Rodchenko @minor","gorky","2026-06-21","failed","2026-06-21","","06-fonts.spec.js","",""
"","286","Страница /tickets/ не содержит серверных ошибок в HTML @major","gorky","2026-06-21","failed","2026-06-21","","02-content.spec.js","",""
"","438","Фотогалерея: последний альбом не старше 30 дней @major","gorky","2026-06-21","failed","2026-06-21","","16-photo-freshness.spec.js","",""
"","284","Страница матча из календаря открывается @major","gorky","2026-06-21","failed","2026-06-21","","08-match-page.spec.js","",""
"","276","Новости — <title> заполнен @major","gorky","2026-06-21","failed","2026-06-21","","11-ssl-meta.spec.js","",""
"","272","Видео: категория «События» не пустая @major","gorky","2026-06-21","failed","2026-06-21","","15-video-categories.spec.js","",""
"","278","Видео /video/ — нет JS-ошибок в консоли @major","gorky","2026-06-21","failed","2026-06-21","","09-console-errors.spec.js","",""
"","294","Состав /teamroster/ — нет JS-ошибок в консоли @major","gorky","2026-06-21","failed","2026-06-21","","09-console-errors.spec.js","",""
"","274","Турнирная таблица /season/tournament_tables/ отвечает 200 @critical","gorky","2026-06-21","failed","2026-06-21","","01-availability.spec.js","",""
"","274","Статистика /season/statistics/ отвечает 200 @critical","gorky","2026-06-21","failed","2026-06-21","","01-availability.spec.js","",""
"","291","Видео: категория «Игроки» не пустая @major","gorky","2026-06-21","failed","2026-06-21","","15-video-categories.spec.js","",""
"","292","Модалка авторизации открывается @critical","gorky","2026-06-21","failed","2026-06-21","","03-functional.spec.js","",""
"","268","/online/broadcasts/2025-09/ — HTTP 200 @minor","gorky","2026-06-21","failed","2026-06-21","","17-broadcasts.spec.js","",""
"","273","Фотогалерея /photogallery/ отвечает 200 @critical","gorky","2026-06-21","failed","2026-06-21","","01-availability.spec.js","",""
"","155","Видео: количество на dev ≈ prod (отклонение ≤10%) @major","gorky","2026-06-21","failed","2026-06-21","","15-video-categories.spec.js","",""
"","259","Тренеры — есть хотя бы один @major","gorky","2026-06-21","failed","2026-06-21","","02-content.spec.js","",""
"","280","/online/broadcasts/2026-03/ — HTTP 200 @minor","gorky","2026-06-21","failed","2026-06-21","","17-broadcasts.spec.js","",""
"","272","Персонал — есть хотя бы 5 человек @major","gorky","2026-06-21","failed","2026-06-21","","02-content.spec.js","",""
"","293","/teamroster/ — заголовки используют Rodchenko @minor","gorky","2026-06-21","failed","2026-06-21","","06-fonts.spec.js","",""
"","278","Видео: последнее не старше 30 дней @major","gorky","2026-06-21","failed","2026-06-21","","15-video-categories.spec.js","",""
"","274","Видео: категория «Интервью» не пустая @major","gorky","2026-06-21","failed","2026-06-21","","15-video-categories.spec.js","",""
"","278","Видео — есть хотя бы 10 видео @major","gorky","2026-06-21","failed","2026-06-21","","02-content.spec.js","",""
"","262","Лояльность /loyalty/ отвечает 200 @critical","gorky","2026-06-21","failed","2026-06-21","","01-availability.spec.js","",""
"","287","/teamroster/ — текст использует Play @minor","gorky","2026-06-21","failed","2026-06-21","","06-fonts.spec.js","",""
"","279","Персонал /staffs/ отвечает 200 @critical","gorky","2026-06-21","failed","2026-06-21","","01-availability.spec.js","",""
"","650","Трансляции /online/broadcasts/ отвечает 200 @critical","gorky","2026-06-21","failed","2026-06-21","","01-availability.spec.js","",""
"","281","/online/broadcasts/2026-01/ — HTTP 200 @minor","gorky","2026-06-21","failed","2026-06-21","","17-broadcasts.spec.js","",""
"","279","/video/ — заголовки используют Rodchenko @minor","gorky","2026-06-21","failed","2026-06-21","","06-fonts.spec.js","",""
"","286","Ссылки в футере не возвращают 404 @minor","gorky","2026-06-21","failed","2026-06-21","","05-links.spec.js","",""
"","79","Нет редиректа HTTPS → HTTP @critical","gorky","2026-06-21","failed","2026-06-21","","11-ssl-meta.spec.js","",""
"","268","/online/broadcasts/2025-12/ — HTTP 200 @minor","gorky","2026-06-21","failed","2026-06-21","","17-broadcasts.spec.js","",""
"","279","Страница /news/ не содержит серверных ошибок в HTML @major","gorky","2026-06-21","failed","2026-06-21","","02-content.spec.js","",""
"","284","Последняя новость не старше 7 дней @major","gorky","2026-06-21","failed","2026-06-21","","07-freshness.spec.js","",""
"","282","Блок «Следующий матч» — логотипы команд загружены @major","gorky","2026-06-21","failed","2026-06-21","","12-next-match.spec.js","",""
"","274","Состав — есть хотя бы 10 игроков @major","gorky","2026-06-21","failed","2026-06-21","","02-content.spec.js","",""
"","276","Видео: категория «Документальное» не пустая @major","gorky","2026-06-21","failed","2026-06-21","","15-video-categories.spec.js","",""
"","263","Контакты /contacts/ отвечает 200 @critical","gorky","2026-06-21","failed","2026-06-21","","01-availability.spec.js","",""
"","298","Фан-зона /fan_zone/ отвечает 200 @critical","gorky","2026-06-21","failed","2026-06-21","","01-availability.spec.js","",""
"","268","/contacts/ — заголовки используют Rodchenko @minor","gorky","2026-06-21","failed","2026-06-21","","06-fonts.spec.js","",""
"","284","Видео: категория «Чарты» не пустая @major","gorky","2026-06-21","failed","2026-06-21","","15-video-categories.spec.js","",""
"","299","/online/broadcasts/2026-02/ — HTTP 200 @minor","gorky","2026-06-21","failed","2026-06-21","","17-broadcasts.spec.js","",""
"","266","Изображения загружены на /coaches/ @minor","gorky","2026-06-21","failed","2026-06-21","","04-visual.spec.js","",""
"","154","Новости: количество на dev ≈ prod (отклонение ≤5%) @major @khl-sync","gorky","2026-06-21","failed","2026-06-21","","14-khl-sync.spec.js","",""
"","270","/news/ — текст использует Play @minor","gorky","2026-06-21","failed","2026-06-21","","06-fonts.spec.js","",""
"","410","Видео: категория «Творчество» не пустая @major","gorky","2026-06-21","failed","2026-06-21","","15-video-categories.spec.js","",""
"","274","Кнопка «КУПИТЬ АБОНЕМЕНТ» работает @critical","gorky","2026-06-21","failed","2026-06-21","","18-tickets.spec.js","",""
"","728","Календарь /season/calendar/ отвечает 200 @critical","gorky","2026-06-21","failed","2026-06-21","","01-availability.spec.js","",""
"","276","/tickets/season/ — страница доступна (не 403) @major","gorky","2026-06-21","failed","2026-06-21","","18-tickets.spec.js","",""
"","273","Страница /video/ не содержит серверных ошибок в HTML @major","gorky","2026-06-21","failed","2026-06-21","","02-content.spec.js","",""
"","268","Календарь — ячейки содержат текст команд @major","gorky","2026-06-21","failed","2026-06-21","","02-content.spec.js","",""
"","270","Билеты /tickets/ — нет JS-ошибок в консоли @major","gorky","2026-06-21","failed","2026-06-21","","09-console-errors.spec.js","",""
"","265","Видео: категория «Хайлайты» не пустая @major","gorky","2026-06-21","failed","2026-06-21","","15-video-categories.spec.js","",""
"","281","Руководство — есть хотя бы 2 человека @major","gorky","2026-06-21","failed","2026-06-21","","02-content.spec.js","",""
"","545","Правление /manage/ отвечает 200 @critical","gorky","2026-06-21","failed","2026-06-21","","01-availability.spec.js","",""
"","269","Блок «Предыдущий матч» — страница матча открывается @critical","gorky","2026-06-21","failed","2026-06-21","","19-match-details.spec.js","",""
"","816","Видео /video/ отвечает 200 @critical","gorky","2026-06-21","failed","2026-06-21","","01-availability.spec.js","",""
"","47","API: матчи сезона не пустые @major @khl-sync","gorky","2026-06-21","failed","2026-06-21","","14-khl-sync.spec.js","",""
"","269","/ — текст использует Play @minor","gorky","2026-06-21","failed","2026-06-21","","06-fonts.spec.js","",""
"","268","Блок «Предыдущий матч» — ссылка «СТРАНИЦА МАТЧА» видима @critical","gorky","2026-06-21","failed","2026-06-21","","19-match-details.spec.js","",""
"","271","Блок «Предыдущий матч» — ссылка ведёт на свой домен, не на prod @major","gorky","2026-06-21","failed","2026-06-21","","19-match-details.spec.js","",""
"","276","Билеты /tickets/ отвечает 200 @critical","gorky","2026-06-21","failed","2026-06-21","","01-availability.spec.js","",""
"","271","Обои /photogallery/wallpaper/ — страница доступна (не 403) @major","gorky","2026-06-21","failed","2026-06-21","","16-photo-freshness.spec.js","",""
"","58","API: следующий матч — дата актуальна @critical @khl-sync","gorky","2026-06-21","failed","2026-06-21","","14-khl-sync.spec.js","",""
"","307","Тренеры /coaches/ отвечает 200 @critical","gorky","2026-06-21","failed","2026-06-21","","01-availability.spec.js","",""
