"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6625","TC-VK-05 | Страница /auth/vk/callback с невалидным code показывает сообщение об ошибке @major","Desktop Chrome","2026-07-22","passed","2026-07-22","VK авторизация","15-vk-auth.spec.ts","",""
"","7591","CJM-06-02 | Список заказов содержит дату и сумму @major","Desktop Chrome","2026-07-22","passed","2026-07-22","CJM-06 | Статус и история заказов","14-order-cjm.spec.ts","",""
"","201","TC-PAY-01 | GET /payment/{order}/status без авторизации возвращает 401 @critical","Mobile Chrome","2026-07-22","passed","2026-07-22","Платёжный flow — защита без авторизации","11-payment-flow.spec.ts","",""
"","207","TC-API-23 | GET /products?search=SQL-injection не роняет сервер @major","Mobile Chrome","2026-07-22","passed","2026-07-22","API-эндпоинты (smoke)","09-api.spec.ts","",""
"","3353","TC-CAT-22 | Скелетон-плейсхолдер показывается при загрузке @major","Mobile Chrome","2026-07-22","passed","2026-07-22","Каталог товаров","02-catalog.spec.ts","",""
"","4688","TC-ACC-11 | Страница бонусов загружается @major","Desktop Chrome","2026-07-22","passed","2026-07-22","Личный кабинет","06-account.spec.ts","",""
"","10547","TC-COK-06 | После принятия — при перезагрузке баннер не показывается @major","Mobile Chrome","2026-07-22","passed","2026-07-22","Cookie Consent баннер","19-cookie.spec.ts","",""
"","4492","CJM-01-03 | Клик на карточку переходит на страницу товара @major","Desktop Chrome","2026-07-22","passed","2026-07-22","CJM-01 | Обнаружение товара","14-order-cjm.spec.ts","",""
"","5466","TC-CAT-19 | Переход в категорию через URL работает @major","Desktop Chrome","2026-07-22","passed","2026-07-22","Каталог товаров","02-catalog.spec.ts","",""
"","4662","TC-PAY-13 | PaymentRedirectOverlay не отображается на главной @critical","Desktop Chrome","2026-07-22","passed","2026-07-22","Платёжный flow","11-payment-flow.spec.ts","",""
"","6544","TC-PAY-10 | /payment/result показывает статус успешной оплаты (success сценарий) @critical","Desktop Chrome","2026-07-22","passed","2026-07-22","Платёжный flow","11-payment-flow.spec.ts","",""
"","7691","CJM-07-01 | Пустая корзина не позволяет перейти к оформлению @major","Desktop Chrome","2026-07-22","passed","2026-07-22","CJM-07 | Edge cases и граничные сценарии","14-order-cjm.spec.ts","",""
"","3910","TC-PAY-22 | /account/orders показывает статус оплаты заказов @critical","Mobile Chrome","2026-07-22","passed","2026-07-22","Платёжный flow","11-payment-flow.spec.ts","",""
"","5317","TC-PAGE-16 | Ссылка на доставку в футере работает @minor","Desktop Chrome","2026-07-22","passed","2026-07-22","Статические страницы","08-pages.spec.ts","",""
"","252","TC-API-13 | GET /auth/user без авторизации возвращает 401 @major","Mobile Chrome","2026-07-22","passed","2026-07-22","API-эндпоинты (без авторизации)","09-api.spec.ts","",""
"","5999","TC-PAY-19 | Отрицательная сумма заказа отклоняется @critical","Mobile Chrome","2026-07-22","passed","2026-07-22","Платёжный flow","11-payment-flow.spec.ts","",""
"","26204","CJM-07-05 | Дублирующий клик «В корзину» не создаёт двойной позиции @major","Desktop Chrome","2026-07-22","passed","2026-07-22","CJM-07 | Edge cases и граничные сценарии","14-order-cjm.spec.ts","",""
"","3120","TC-CAT-02 | Отображается счётчик товаров «Показано X из Y» @major","Mobile Chrome","2026-07-22","passed","2026-07-22","Каталог товаров","02-catalog.spec.ts","",""
"","5214","CJM-07-06 | Переход к оплате с неверными данными показывает валидацию @major","Mobile Chrome","2026-07-22","passed","2026-07-22","CJM-07 | Edge cases и граничные сценарии","14-order-cjm.spec.ts","",""
"","3267","TC-VK-01 | Кнопка ""Войти через VK"" отображается на форме логина @major","Mobile Chrome","2026-07-22","passed","2026-07-22","VK авторизация","15-vk-auth.spec.ts","",""
"","5711","TC-CART-03 | Счётчик в хедере обновляется при добавлении @major","Desktop Chrome","2026-07-22","passed","2026-07-22","Корзина","04-cart.spec.ts","",""
"","4548","TC-ADDR-11 | Кнопка ""Выйти со всех устройств"" присутствует в профиле @major","Mobile Chrome","2026-07-22","passed","2026-07-22","Адреса доставки","16-addresses.spec.ts","",""
"","6146","CJM-03-02 | Кнопка «+» увеличивает количество @major","Mobile Chrome","2026-07-22","passed","2026-07-22","CJM-03 | Управление корзиной","14-order-cjm.spec.ts","",""
"","2807","TC-AUTH-06 | Email некорректного формата показывает ошибку валидации @critical","Mobile Chrome","2026-07-22","passed","2026-07-22","Авторизация и регистрация","05-auth.spec.ts","",""
"","178","TC-API-16 | GET /me без авторизации возвращает 401 @major","Mobile Chrome","2026-07-22","passed","2026-07-22","API-эндпоинты (smoke)","09-api.spec.ts","",""
"","8231","TC-SMS-05 | Ввод телефона и клик ""Получить код"" → вызывается POST /api/v1/shop/auth/send-otp @major","Mobile Chrome","2026-07-22","passed","2026-07-22","SMS/OTP авторизация","18-sms-auth.spec.ts","",""
"","251","TC-1C-53 | success (type=sale) возвращает success @major","Desktop Chrome","2026-07-22","passed","2026-07-22","1C CommerceML — Обмен заказами (sale)","12-1c-integration.spec.ts","",""
"","5566","TC-COK-01 | Cookie баннер отображается при первом посещении (нет localStorage cookie_consent) @major","Desktop Chrome","2026-07-22","passed","2026-07-22","Cookie Consent баннер","19-cookie.spec.ts","",""
"","3052","CJM-01-06 | Переключение фото в галерее работает @major","Mobile Chrome","2026-07-22","passed","2026-07-22","CJM-01 | Обнаружение товара","14-order-cjm.spec.ts","",""
"","269","TC-API-07 | GET /products?badge=sale возвращает 200 @major","Desktop Chrome","2026-07-22","passed","2026-07-22","API-эндпоинты (smoke)","09-api.spec.ts","",""
"","13989","CJM-03-01 | Страница корзины отображает добавленный товар @major","Desktop Chrome","2026-07-22","passed","2026-07-22","CJM-03 | Управление корзиной","14-order-cjm.spec.ts","",""
"","5219","CJM-03-06 | Поле промокода присутствует в корзине @major","Mobile Chrome","2026-07-22","passed","2026-07-22","CJM-03 | Управление корзиной","14-order-cjm.spec.ts","",""
"","4435","TC-HOME-17 | Тег <title> не пустой @critical","Mobile Chrome","2026-07-22","passed","2026-07-22","Главная страница","01-home.spec.ts","",""
"","830","ТК-50 | SQL Injection в параметре sort не вызывает 500 @major","Desktop Chrome","2026-07-22","passed","2026-07-22","SEC-INJECT | Инъекции","13-security-pentest.spec.ts","",""
"","6977","TC-ADDR-02 | Страница /account/addresses загружается без ошибок @major","Desktop Chrome","2026-07-22","passed","2026-07-22","Адреса доставки","16-addresses.spec.ts","",""
"","407","ТК-05 | Laravel /_ignition закрыт на backend @major","Desktop Chrome","2026-07-22","passed","2026-07-22","SEC-RECON | Разведка и поверхность атаки","13-security-pentest.spec.ts","",""
"","4328","TC-AUTH-03 | Auth-модал закрывается кликом на оверлей @critical","Desktop Chrome","2026-07-22","passed","2026-07-22","Авторизация и регистрация","05-auth.spec.ts","",""
"","5455","TC-ACC-12 | Баланс бонусов отображается числом @major","Desktop Chrome","2026-07-22","passed","2026-07-22","Личный кабинет","06-account.spec.ts","",""
"","4419","CJM-04-08 | Выбор СДЭК-курьер показывает поле адреса @major","Mobile Chrome","2026-07-22","passed","2026-07-22","CJM-04 | Форма заказа","14-order-cjm.spec.ts","",""
"","3441","TC-RAT-01 | Блок рейтинга отображается на странице товара @minor","Mobile Chrome","2026-07-22","passed","2026-07-22","Schema.org разметка и рейтинг","17-schema-and-rating.spec.ts","",""
"","3351","TC-API-22 | GET /products?search=<script> не выполняет XSS @major","Desktop Chrome","2026-07-22","passed","2026-07-22","API-эндпоинты (smoke)","09-api.spec.ts","",""
"","5014","TC-HOME-15 | На мобиле хамбургер-кнопка видна @critical","Mobile Chrome","2026-07-22","passed","2026-07-22","Главная страница","01-home.spec.ts","",""
"","5653","TC-RAT-04 | В заказах отображается блок оценки товара (если есть заказы) @minor","Mobile Chrome","2026-07-22","passed","2026-07-22","Schema.org разметка и рейтинг","17-schema-and-rating.spec.ts","",""
"","3000","TC-PROD-14 | Секция похожих товаров загружается @major","Mobile Chrome","2026-07-22","passed","2026-07-22","Страница товара","03-product.spec.ts","",""
"","8670","ТК-42 | Отрицательное/нулевое quantity в заказе отклоняется @major","Desktop Chrome","2026-07-22","passed","2026-07-22","SEC-BIZ | Бизнес-логика","13-security-pentest.spec.ts","",""
"","7076","TC-CART-10 | Поле промокода присутствует на странице оформления @major","Mobile Chrome","2026-07-22","passed","2026-07-22","Корзина","04-cart.spec.ts","",""
"","6874","CJM-06-03 | Статус заказа отображается @major","Desktop Chrome","2026-07-22","passed","2026-07-22","CJM-06 | Статус и история заказов","14-order-cjm.spec.ts","",""
"","3252","TC-CAT-21 | Карточки с badge показывают метку (NEW/SALE/HIT) @major","Mobile Chrome","2026-07-22","passed","2026-07-22","Каталог товаров","02-catalog.spec.ts","",""
"","7592","TC-HOME-09 | Клик по кнопке слайдера меняет слайд @critical","Mobile Chrome","2026-07-22","passed","2026-07-22","Главная страница","01-home.spec.ts","",""
"","8435","TC-SMS-07 | Отображается countdown таймер (60 секунд) @major","Desktop Chrome","2026-07-22","passed","2026-07-22","SMS/OTP авторизация","18-sms-auth.spec.ts","",""
"","5506","TC-ACC-16 | Страница билетов загружается @major","Desktop Chrome","2026-07-22","passed","2026-07-22","Личный кабинет","06-account.spec.ts","",""
"","3856","TC-CAT-11 | Панель фильтров открывается @major","Desktop Chrome","2026-07-22","passed","2026-07-22","Каталог товаров","02-catalog.spec.ts","",""
"","5474","TC-CART-03 | Счётчик в хедере обновляется при добавлении @major","Mobile Chrome","2026-07-22","passed","2026-07-22","Корзина","04-cart.spec.ts","",""
"","8149","TC-ADDR-03 | На странице есть кнопка ""Добавить адрес"" @major","Desktop Chrome","2026-07-22","passed","2026-07-22","Адреса доставки","16-addresses.spec.ts","",""
"","4086","TC-PROD-03 | Цена товара отображается @major","Desktop Chrome","2026-07-22","passed","2026-07-22","Страница товара","03-product.spec.ts","",""
"","6756","CJM-02-06 | Избранное: кнопка ♥ добавляет в список @major","Desktop Chrome","2026-07-22","passed","2026-07-22","CJM-02 | Добавление в корзину","14-order-cjm.spec.ts","",""
"","2883","TC-1C-74 | Файл > file_limit отклоняется @major","Desktop Chrome","2026-07-22","passed","2026-07-22","1C CommerceML — Безопасность","12-1c-integration.spec.ts","",""
"","5914","TC-VK-03 | Клик по кнопке VK открывает VK ID виджет или меняет состояние кнопки @major","Desktop Chrome","2026-07-22","passed","2026-07-22","VK авторизация","15-vk-auth.spec.ts","",""
"","8733","TC-RAT-04 | В заказах отображается блок оценки товара (если есть заказы) @minor","Desktop Chrome","2026-07-22","passed","2026-07-22","Schema.org разметка и рейтинг","17-schema-and-rating.spec.ts","",""
"","3601","TC-PROD-10 | Количество ограничено стоком @major","Desktop Chrome","2026-07-22","passed","2026-07-22","Страница товара","03-product.spec.ts","",""
"","5511","TC-RESP-50 | Favicon загружается @minor","Mobile Chrome","2026-07-22","passed","2026-07-22","Адаптивность и производительность","10-responsive.spec.ts","",""
"","778","TC-1C-33 | После import catalog: товар TEST-001 доступен в API @major","Desktop Chrome","2026-07-22","passed","2026-07-22","1C CommerceML — Импорт каталога","12-1c-integration.spec.ts","",""
"","19433","TC-ADDR-07 | Успешное добавление адреса отображает его в списке @major","Desktop Chrome","2026-07-22","passed","2026-07-22","Адреса доставки","16-addresses.spec.ts","",""
"","8454","ТК-44 | Одноразовый промокод нельзя применить дважды @major","Desktop Chrome","2026-07-22","passed","2026-07-22","SEC-BIZ | Бизнес-логика","13-security-pentest.spec.ts","",""
"","4830","TC-CAT-13 | Фильтр по badge=sale работает через URL @major","Desktop Chrome","2026-07-22","passed","2026-07-22","Каталог товаров","02-catalog.spec.ts","",""
"","5370","TC-RESP-01 | /contacts — нет горизонтального скролла на мобиле","Mobile Chrome","2026-07-22","passed","2026-07-22","Адаптивность и производительность","10-responsive.spec.ts","",""
"","9129","CJM-03-07 | Кнопка «Оформить заказ» ведёт на checkout @major","Desktop Chrome","2026-07-22","passed","2026-07-22","CJM-03 | Управление корзиной","14-order-cjm.spec.ts","",""
"","7095","CJM-03-07 | Кнопка «Оформить заказ» ведёт на checkout @major","Mobile Chrome","2026-07-22","passed","2026-07-22","CJM-03 | Управление корзиной","14-order-cjm.spec.ts","",""
"","3547","TC-PAGE-13 | Несуществующий маршрут показывает 404-страницу @minor","Desktop Chrome","2026-07-22","passed","2026-07-22","Статические страницы","08-pages.spec.ts","",""
"","725","ТК-32 | Admin-эндпоинты без токена возвращают 401 @major","Desktop Chrome","2026-07-22","passed","2026-07-22","SEC-IDOR | Авторизация и IDOR","13-security-pentest.spec.ts","",""
"","205","TC-API-12 | POST /auth/login с неверными данными возвращает 401 или 422 @major","Mobile Chrome","2026-07-22","passed","2026-07-22","API-эндпоинты (smoke)","09-api.spec.ts","",""
"","8375","TC-RAT-06 | После оценки товара не появляется ""Что-то пошло не так"" @minor","Desktop Chrome","2026-07-22","passed","2026-07-22","Schema.org разметка и рейтинг","17-schema-and-rating.spec.ts","",""
"","5554","TC-CHK-13 | Итоговая сумма обновляется при выборе доставки @critical","Desktop Chrome","2026-07-22","passed","2026-07-22","Оформление заказа","07-checkout.spec.ts","",""
"","8782","TC-ADDR-12 | Кнопка ""Выйти со всех устройств"" показывает confirm диалог @major","Desktop Chrome","2026-07-22","passed","2026-07-22","Адреса доставки","16-addresses.spec.ts","",""
"","7936","CJM-07-04 | Очень большое количество товара ограничивается @major","Desktop Chrome","2026-07-22","passed","2026-07-22","CJM-07 | Edge cases и граничные сценарии","14-order-cjm.spec.ts","",""
"","245","TC-API-12 | POST /auth/login с неверными данными возвращает 401 или 422 @major","Desktop Chrome","2026-07-22","passed","2026-07-22","API-эндпоинты (smoke)","09-api.spec.ts","",""
"","5340","TC-CART-02 | Товар добавляется в корзину @major","Desktop Chrome","2026-07-22","passed","2026-07-22","Корзина","04-cart.spec.ts","",""
"","3675","CJM-01-05 | Галерея изображений на странице товара @major","Mobile Chrome","2026-07-22","passed","2026-07-22","CJM-01 | Обнаружение товара","14-order-cjm.spec.ts","",""
"","5022","TC-PROD-11 | Добавление в корзину меняет счётчик корзины в хедере @major","Desktop Chrome","2026-07-22","passed","2026-07-22","Страница товара","03-product.spec.ts","",""
"","5379","TC-ACC-13 | Фильтр истории бонусов работает @major","Desktop Chrome","2026-07-22","passed","2026-07-22","Личный кабинет","06-account.spec.ts","",""
"","5912","TC-CHK-04 | Способы доставки отображаются @critical","Desktop Chrome","2026-07-22","passed","2026-07-22","Оформление заказа","07-checkout.spec.ts","",""
"","245","TC-1C-20 | POST file: загрузка classifier XML возвращает success @major","Desktop Chrome","2026-07-22","passed","2026-07-22","1C CommerceML — Загрузка файлов (catalog)","12-1c-integration.spec.ts","",""
"","3640","ТК-53b | XSS через имя категории не исполняется @major","Desktop Chrome","2026-07-22","passed","2026-07-22","SEC-INJECT | Инъекции","13-security-pentest.spec.ts","",""
"","3350","TC-PAGE-08 | Страница оплаты загружается @minor","Desktop Chrome","2026-07-22","passed","2026-07-22","Статические страницы","08-pages.spec.ts","",""
