"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4755","Размещения — клик по записи открывает детальную страницу @major","desktop-chrome","2026-06-17","passed","2026-06-17","Детальные страницы","09-detail-pages.spec.ts","",""
"","5586","Созданное размещение отображается в списке @major","desktop-chrome","2026-06-17","passed","2026-06-17","CRUD: Размещения","04-accommodations-crud.spec.ts","",""
"","5088","Удаление точки питания @major","desktop-chrome","2026-06-17","passed","2026-06-17","CRUD: Точки питания","08-food-crud.spec.ts","",""
"","4058","Таблица загружается @major","desktop-chrome","2026-06-17","passed","2026-06-17","Страница: Точки питания","02-table-pages.spec.ts","",""
"","4094","Уведомления (/notifications) — страница открывается @major","desktop-chrome","2026-06-17","passed","2026-06-17","Навигация по sidebar","05-sidebar-navigation.spec.ts","",""
"","3565","authenticate as admin","auth-setup","2026-06-17","passed","2026-06-17","","../setup/auth.setup.ts","",""
"","4254","Уровни — подстраница загружается @major","desktop-chrome","2026-06-17","passed","2026-06-17","Лояльность","12-promotions.spec.ts","",""
"","4740","Точка питания отображается в таблице @major","desktop-chrome","2026-06-17","passed","2026-06-17","CRUD: Точки питания","08-food-crud.spec.ts","",""
"","4166","Объявления (/announcements) — страница открывается @major","desktop-chrome","2026-06-17","passed","2026-06-17","Навигация по sidebar","05-sidebar-navigation.spec.ts","",""
"","4509","Заявки (/requests) — страница открывается @major","desktop-chrome","2026-06-17","passed","2026-06-17","Навигация по sidebar","05-sidebar-navigation.spec.ts","",""
"","11108","Поиск фильтрует таблицу @major","desktop-chrome","2026-06-17","passed","2026-06-17","Страница: Сотрудники","02-table-pages.spec.ts","",""
"","1892","Создание пользователя через API @major","desktop-chrome","2026-06-17","passed","2026-06-17","CRUD: Пользователи","07-users-crud.spec.ts","",""
"","1820","Создание точки питания через API @major","desktop-chrome","2026-06-17","passed","2026-06-17","CRUD: Точки питания","08-food-crud.spec.ts","",""
"","4176","Заголовок и табы отображаются @major","desktop-chrome","2026-06-17","passed","2026-06-17","Дашборд","06-dashboard.spec.ts","",""
"","3881","Детальная страница развлечения открывается @major","desktop-chrome","2026-06-17","skipped","2026-06-17","Развлечения","11-entertainment.spec.ts","",""
"","4555","Сотрудники (/user) — страница открывается @major","desktop-chrome","2026-06-17","passed","2026-06-17","Навигация по sidebar","05-sidebar-navigation.spec.ts","",""
