"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10611","Пользователи (/user) — страница открывается @major","desktop-chrome","2026-06-20","passed","2026-06-20","Навигация по sidebar","05-sidebar-navigation.spec.ts","",""
"","8284","Уведомления (/notifications) — страница открывается @major","desktop-chrome","2026-06-20","passed","2026-06-20","Навигация по sidebar","05-sidebar-navigation.spec.ts","",""
"","7436","Удаление пользователя @major","desktop-chrome","2026-06-20","passed","2026-06-20","CRUD: Пользователи","07-users-crud.spec.ts","",""
"","9083","Удаление размещения через таблицу @major","desktop-chrome","2026-06-20","skipped","2026-06-20","CRUD: Размещения","04-accommodations-crud.spec.ts","",""
"","12171","Пользователь отображается в таблице @major","desktop-chrome","2026-06-20","passed","2026-06-20","CRUD: Пользователи","07-users-crud.spec.ts","",""
"","7921","Точки питания (/food) — страница открывается @major","desktop-chrome","2026-06-20","passed","2026-06-20","Навигация по sidebar","05-sidebar-navigation.spec.ts","",""
"","10092","Размещения — клик по записи открывает детальную страницу @major","desktop-chrome","2026-06-20","passed","2026-06-20","Детальные страницы","09-detail-pages.spec.ts","",""
"","10203","Таблица с данными загружается @major","desktop-chrome","2026-06-20","passed","2026-06-20","Страница: Пользователи","02-table-pages.spec.ts","",""
"","8323","Успешный логин и редирект с /login @critical","desktop-chrome","2026-06-20","passed","2026-06-20","Страница логина","01-login.spec.ts","",""
"","7723","Заголовок и табы отображаются @major","desktop-chrome","2026-06-20","passed","2026-06-20","Дашборд","06-dashboard.spec.ts","",""
"","3998","Создание точки питания через API @major","desktop-chrome","2026-06-20","passed","2026-06-20","CRUD: Точки питания","08-food-crud.spec.ts","",""
"","8690","Лояльность (/promotions) — страница открывается @major","desktop-chrome","2026-06-20","passed","2026-06-20","Навигация по sidebar","05-sidebar-navigation.spec.ts","",""
"","7","Удаление роли с админами блокируется","desktop-chrome","2026-06-20","skipped","2026-06-20","Роли и матрица прав @critical","12-roles-and-permissions.spec.ts","",""
"","7932","Невалидный токен → редирект на /login @critical","desktop-chrome","2026-06-20","passed","2026-06-20","Защита роутов","03-auth-guard.spec.ts","",""
"","9083","Удаление точки питания @major","desktop-chrome","2026-06-20","passed","2026-06-20","CRUD: Точки питания","08-food-crud.spec.ts","",""
"","8133","Услуги (/services) — страница открывается @major","desktop-chrome","2026-06-20","passed","2026-06-20","Навигация по sidebar","05-sidebar-navigation.spec.ts","",""
"","7948","Таблица с данными загружается @major","desktop-chrome","2026-06-20","passed","2026-06-20","Страница: Размещения","02-table-pages.spec.ts","",""
"","7004","Защищённая страница без токена → редирект на /login @critical","desktop-chrome","2026-06-20","passed","2026-06-20","Защита роутов","03-auth-guard.spec.ts","",""
"","5676","Создание роли, назначение админу и проверка ограничений","desktop-chrome","2026-06-20","passed","2026-06-20","Роли и матрица прав @critical","12-roles-and-permissions.spec.ts","",""
"","13574","Пользователи — клик по записи открывает детальную страницу @major","desktop-chrome","2026-06-20","passed","2026-06-20","Детальные страницы","09-detail-pages.spec.ts","",""
"","8950","Анкеты (/questionnaires) — страница открывается @major","desktop-chrome","2026-06-20","passed","2026-06-20","Навигация по sidebar","05-sidebar-navigation.spec.ts","",""
