"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","274","ТК-14 | Security headers присутствуют на backend @major","Desktop Chrome","2026-08-01","passed","2026-08-01","SEC-RECON | Разведка и поверхность атаки","13-security-pentest.spec.ts","",""
"","5047","TC-PAY-19 | Отрицательная сумма заказа отклоняется @critical","Desktop Chrome","2026-08-01","passed","2026-08-01","Платёжный flow","11-payment-flow.spec.ts","",""
"","549","TC-1C-32 | import catalog создаёт товары в БД @major","Desktop Chrome","2026-08-01","passed","2026-08-01","1C CommerceML — Импорт каталога","12-1c-integration.spec.ts","",""
"","9811","CJM-04-12 | Невалидный промокод показывает ошибку @major","Desktop Chrome","2026-08-01","passed","2026-08-01","CJM-04 | Форма заказа","14-order-cjm.spec.ts","",""
"","6091","TC-PAGE-02 | На странице контактов отображается карта @minor","Mobile Chrome","2026-08-01","passed","2026-08-01","Статические страницы","08-pages.spec.ts","",""
"","9549","TC-SMS-05 | Ввод телефона и клик ""Получить код"" → вызывается POST /api/v1/shop/auth/send-otp @major","Mobile Chrome","2026-08-01","passed","2026-08-01","SMS/OTP авторизация","18-sms-auth.spec.ts","",""
"","5386","TC-SCH-02 | Schema.org тип Product корректен @minor","Desktop Chrome","2026-08-01","passed","2026-08-01","Schema.org разметка и рейтинг","17-schema-and-rating.spec.ts","",""
"","812","TC-1C-73 | XXE-атака в XML отклоняется или игнорируется @major","Desktop Chrome","2026-08-01","passed","2026-08-01","1C CommerceML — Безопасность","12-1c-integration.spec.ts","",""
"","5657","TC-HOME-06 | Футер содержит контактную информацию @critical","Desktop Chrome","2026-08-01","passed","2026-08-01","Главная страница","01-home.spec.ts","",""
"","5199","TC-PAY-08 | GET /payment/{order}/status с авторизацией возвращает статус @critical","Desktop Chrome","2026-08-01","passed","2026-08-01","Платёжный flow","11-payment-flow.spec.ts","",""
