"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","317","/teamroster/ — заголовки используют Rodchenko @minor","torpedo","2026-07-10","failed","2026-07-10","","06-fonts.spec.js","",""
"","950","Главная / отвечает 200 @critical","torpedo","2026-07-10","failed","2026-07-10","","01-availability.spec.js","",""
"","340","Изображения загружены на /teamroster/ @minor","torpedo","2026-07-10","failed","2026-07-10","","04-visual.spec.js","",""
"","297","/contacts/ — текст использует Play @minor","torpedo","2026-07-10","failed","2026-07-10","","06-fonts.spec.js","",""
"","296","Видео: категория «Интервью» не пустая @major","torpedo","2026-07-10","failed","2026-07-10","","15-video-categories.spec.js","",""
"","969","Новости — есть хотя бы одна @major","torpedo","2026-07-10","failed","2026-07-10","","02-content.spec.js","",""
"","315","Модалка авторизации открывается @critical","torpedo","2026-07-10","failed","2026-07-10","","03-functional.spec.js","",""
"","312","Видео /video/ — нет JS-ошибок в консоли @major","torpedo","2026-07-10","failed","2026-07-10","","09-console-errors.spec.js","",""
"","294","/online/broadcasts/2026-01/ — HTTP 200 @minor","torpedo","2026-07-10","failed","2026-07-10","","17-broadcasts.spec.js","",""
"","823","Новости /news/ отвечает 200 @critical","torpedo","2026-07-10","failed","2026-07-10","","01-availability.spec.js","",""
"","308","Персонал — есть хотя бы 5 человек @major","torpedo","2026-07-10","failed","2026-07-10","","02-content.spec.js","",""
"","295","История /history/ отвечает 200 @critical","torpedo","2026-07-10","failed","2026-07-10","","01-availability.spec.js","",""
"","289","Видео: последнее не старше 30 дней @major","torpedo","2026-07-10","failed","2026-07-10","","15-video-categories.spec.js","",""
"","305","Видео: категория «Поехали» не пустая @major","torpedo","2026-07-10","failed","2026-07-10","","15-video-categories.spec.js","",""
"","282","/contacts/ — заголовки используют Rodchenko @minor","torpedo","2026-07-10","failed","2026-07-10","","06-fonts.spec.js","",""
"","319","Видео — есть хотя бы 10 видео @major","torpedo","2026-07-10","failed","2026-07-10","","02-content.spec.js","",""
"","308","/news/ — текст использует Play @minor","torpedo","2026-07-10","failed","2026-07-10","","06-fonts.spec.js","",""
"","283","Фотогалерея: последний альбом не старше 30 дней @major","torpedo","2026-07-10","failed","2026-07-10","","16-photo-freshness.spec.js","",""
"","303","Школа /school/ отвечает 200 @critical","torpedo","2026-07-10","failed","2026-07-10","","01-availability.spec.js","",""
"","328","Страница /tickets/ открывается и содержит контент @critical","torpedo","2026-07-10","failed","2026-07-10","","03-functional.spec.js","",""
"","305","Кнопка «КУПИТЬ АБОНЕМЕНТ» работает @critical","torpedo","2026-07-10","failed","2026-07-10","","18-tickets.spec.js","",""
"","310","Изображения загружены на /coaches/ @minor","torpedo","2026-07-10","failed","2026-07-10","","04-visual.spec.js","",""
"","276","/online/broadcasts/2025-12/ — HTTP 200 @minor","torpedo","2026-07-10","failed","2026-07-10","","17-broadcasts.spec.js","",""
"","317","Новости /news/ — нет JS-ошибок в консоли @major","torpedo","2026-07-10","failed","2026-07-10","","09-console-errors.spec.js","",""
"","326","Матчи /season/matches/ отвечает 200 @critical","torpedo","2026-07-10","failed","2026-07-10","","01-availability.spec.js","",""
"","317","Руководство — есть хотя бы 2 человека @major","torpedo","2026-07-10","failed","2026-07-10","","02-content.spec.js","",""
"","297","Страница /season/calendar/ не содержит серверных ошибок в HTML @major","torpedo","2026-07-10","failed","2026-07-10","","02-content.spec.js","",""
"","285","/video/ — заголовки используют Rodchenko @minor","torpedo","2026-07-10","failed","2026-07-10","","06-fonts.spec.js","",""
"","55","API: турнирная таблица содержит Торпедо @critical @khl-sync","torpedo","2026-07-10","failed","2026-07-10","","14-khl-sync.spec.js","",""
"","294","Обои /photogallery/wallpaper/ — страница доступна (не 403) @major","torpedo","2026-07-10","failed","2026-07-10","","16-photo-freshness.spec.js","",""
"","304","Infobar (sticky) — данные совпадают с блоком «Следующий матч» @major","torpedo","2026-07-10","failed","2026-07-10","","12-next-match.spec.js","",""
"","289","Страница /tickets/ не содержит серверных ошибок в HTML @major","torpedo","2026-07-10","failed","2026-07-10","","02-content.spec.js","",""
"","56","API: статистика игроков доступна @major @khl-sync","torpedo","2026-07-10","failed","2026-07-10","","14-khl-sync.spec.js","",""
"","292","Видео: категория «Хайлайты» не пустая @major","torpedo","2026-07-10","failed","2026-07-10","","15-video-categories.spec.js","",""
"","315","Персонал /staffs/ отвечает 200 @critical","torpedo","2026-07-10","failed","2026-07-10","","01-availability.spec.js","",""
"","310","Фотогалерея /photogallery/ отвечает 200 @critical","torpedo","2026-07-10","failed","2026-07-10","","01-availability.spec.js","",""
"","288","Блок «Следующий матч» — логотипы команд загружены @major","torpedo","2026-07-10","failed","2026-07-10","","12-next-match.spec.js","",""
"","719","Состав — есть хотя бы 10 игроков @major","torpedo","2026-07-10","failed","2026-07-10","","02-content.spec.js","",""
"","297","Билеты /tickets/ отвечает 200 @critical","torpedo","2026-07-10","failed","2026-07-10","","01-availability.spec.js","",""
"","299","Главная / — нет JS-ошибок в консоли @major","torpedo","2026-07-10","failed","2026-07-10","","09-console-errors.spec.js","",""
"","553","Трансляции /online/broadcasts/ отвечает 200 @critical","torpedo","2026-07-10","failed","2026-07-10","","01-availability.spec.js","",""
"","299","/teamroster/ — текст использует Play @minor","torpedo","2026-07-10","failed","2026-07-10","","06-fonts.spec.js","",""
"","183","Видео: количество на dev ≈ prod (отклонение ≤10%) @major","torpedo","2026-07-10","failed","2026-07-10","","15-video-categories.spec.js","",""
"","354","Видео: категория «Творчество» не пустая @major","torpedo","2026-07-10","failed","2026-07-10","","15-video-categories.spec.js","",""
"","622","Тренеры — есть хотя бы один @major","torpedo","2026-07-10","failed","2026-07-10","","02-content.spec.js","",""
"","303","Favicon загружается @minor","torpedo","2026-07-10","failed","2026-07-10","","11-ssl-meta.spec.js","",""
"","389","/online/broadcasts/2025-09/ — HTTP 200 @minor","torpedo","2026-07-10","failed","2026-07-10","","17-broadcasts.spec.js","",""
"","55","API: список игроков ≥25 @critical @khl-sync","torpedo","2026-07-10","failed","2026-07-10","","14-khl-sync.spec.js","",""
"","296","Билеты /tickets/ — нет JS-ошибок в консоли @major","torpedo","2026-07-10","failed","2026-07-10","","09-console-errors.spec.js","",""
"","297","Ссылки в футере не возвращают 404 @minor","torpedo","2026-07-10","failed","2026-07-10","","05-links.spec.js","",""
"","313","Страница / не содержит серверных ошибок в HTML @major","torpedo","2026-07-10","failed","2026-07-10","","02-content.spec.js","",""
"","303","Состав — <title> заполнен @major","torpedo","2026-07-10","failed","2026-07-10","","11-ssl-meta.spec.js","",""
"","65","Нет редиректа HTTPS → HTTP @critical","torpedo","2026-07-10","failed","2026-07-10","","11-ssl-meta.spec.js","",""
"","302","/season/calendar/ — заголовки используют Rodchenko @minor","torpedo","2026-07-10","failed","2026-07-10","","06-fonts.spec.js","",""
"","289","/online/broadcasts/2026-03/ — HTTP 200 @minor","torpedo","2026-07-10","failed","2026-07-10","","17-broadcasts.spec.js","",""
"","293","/online/broadcasts/2025-10/ — HTTP 200 @minor","torpedo","2026-07-10","failed","2026-07-10","","17-broadcasts.spec.js","",""
"","53","API: тренерский штаб ≥5 @major @khl-sync","torpedo","2026-07-10","failed","2026-07-10","","14-khl-sync.spec.js","",""
"","310","/online/broadcasts/2025-11/ — HTTP 200 @minor","torpedo","2026-07-10","failed","2026-07-10","","17-broadcasts.spec.js","",""
"","288","Блок «Предыдущий матч» — ссылка «СТРАНИЦА МАТЧА» видима @critical","torpedo","2026-07-10","failed","2026-07-10","","19-match-details.spec.js","",""
"","177","Новости: количество на dev ≈ prod (отклонение ≤5%) @major @khl-sync","torpedo","2026-07-10","failed","2026-07-10","","14-khl-sync.spec.js","",""
"","295","Состав /teamroster/ отвечает 200 @critical","torpedo","2026-07-10","failed","2026-07-10","","01-availability.spec.js","",""
"","55","API: следующий матч — дата актуальна @critical @khl-sync","torpedo","2026-07-10","failed","2026-07-10","","14-khl-sync.spec.js","",""
"","300","Легенды /legends/ отвечает 200 @critical","torpedo","2026-07-10","failed","2026-07-10","","01-availability.spec.js","",""
"","288","/video/ — текст использует Play @minor","torpedo","2026-07-10","failed","2026-07-10","","06-fonts.spec.js","",""
"","295","Новости — <title> заполнен @major","torpedo","2026-07-10","failed","2026-07-10","","11-ssl-meta.spec.js","",""
"","263","Видео: категория «Промо» не пустая @major","torpedo","2026-07-10","failed","2026-07-10","","15-video-categories.spec.js","",""
"","337","Видео /video/ отвечает 200 @critical","torpedo","2026-07-10","failed","2026-07-10","","01-availability.spec.js","",""
"","303","Календарь — ячейки содержат текст команд @major","torpedo","2026-07-10","failed","2026-07-10","","02-content.spec.js","",""
"","295","Видео: категория «Чарты» не пустая @major","torpedo","2026-07-10","failed","2026-07-10","","15-video-categories.spec.js","",""
"","643","Турнирная таблица — содержит Торпедо @major","torpedo","2026-07-10","failed","2026-07-10","","02-content.spec.js","",""
"","423","Фотогалерея — есть хотя бы 1 альбом @major","torpedo","2026-07-10","failed","2026-07-10","","02-content.spec.js","",""
"","310","Страница матча из календаря открывается @major","torpedo","2026-07-10","failed","2026-07-10","","08-match-page.spec.js","",""
"","313","Блок «Следующий матч» — отображается или скрыт без ошибок @critical","torpedo","2026-07-10","failed","2026-07-10","","12-next-match.spec.js","",""
"","624","Фан-зона /fan_zone/ отвечает 200 @critical","torpedo","2026-07-10","failed","2026-07-10","","01-availability.spec.js","",""
"","313","Изображения загружены на главной @minor","torpedo","2026-07-10","failed","2026-07-10","","04-visual.spec.js","",""
"","340","Турнирная таблица /season/tournament_tables/ отвечает 200 @critical","torpedo","2026-07-10","failed","2026-07-10","","01-availability.spec.js","",""
"","296","Календарь /season/calendar/ — нет JS-ошибок в консоли @major","torpedo","2026-07-10","failed","2026-07-10","","09-console-errors.spec.js","",""
"","639","Статистика — таблица бомбардиров не пустая @major","torpedo","2026-07-10","failed","2026-07-10","","02-content.spec.js","",""
"","295","Видео: категория «Игроки» не пустая @major","torpedo","2026-07-10","failed","2026-07-10","","15-video-categories.spec.js","",""
"","51","API: матчи сезона не пустые @major @khl-sync","torpedo","2026-07-10","failed","2026-07-10","","14-khl-sync.spec.js","",""
"","300","Состав /teamroster/ — нет JS-ошибок в консоли @major","torpedo","2026-07-10","failed","2026-07-10","","09-console-errors.spec.js","",""
"","309","Видео: категория «События» не пустая @major","torpedo","2026-07-10","failed","2026-07-10","","15-video-categories.spec.js","",""
"","707","Правление /manage/ отвечает 200 @critical","torpedo","2026-07-10","failed","2026-07-10","","01-availability.spec.js","",""
"","304","Страница /video/ не содержит серверных ошибок в HTML @major","torpedo","2026-07-10","failed","2026-07-10","","02-content.spec.js","",""
"","326","Видео: категория «LIVE» не пустая @major","torpedo","2026-07-10","failed","2026-07-10","","15-video-categories.spec.js","",""
"","306","/tickets/ — заголовки используют Rodchenko @minor","torpedo","2026-07-10","failed","2026-07-10","","06-fonts.spec.js","",""
"","51","API: расписание сезона доступно @major @khl-sync","torpedo","2026-07-10","failed","2026-07-10","","14-khl-sync.spec.js","",""
"","338","Логотип Торпедо в header загружен @major","torpedo","2026-07-10","failed","2026-07-10","","04-visual.spec.js","",""
"","301","Лояльность /loyalty/ отвечает 200 @critical","torpedo","2026-07-10","failed","2026-07-10","","01-availability.spec.js","",""
"","311","Контакты /contacts/ отвечает 200 @critical","torpedo","2026-07-10","failed","2026-07-10","","01-availability.spec.js","",""
"","335","Статистика /season/statistics/ отвечает 200 @critical","torpedo","2026-07-10","failed","2026-07-10","","01-availability.spec.js","",""
"","299","Страница /teamroster/ не содержит серверных ошибок в HTML @major","torpedo","2026-07-10","failed","2026-07-10","","02-content.spec.js","",""
"","330","Изображения загружены на /news/ @minor","torpedo","2026-07-10","failed","2026-07-10","","04-visual.spec.js","",""
"","291","/tickets/ — текст использует Play @minor","torpedo","2026-07-10","failed","2026-07-10","","06-fonts.spec.js","",""
"","52","Сайт доступен по HTTPS @critical","torpedo","2026-07-10","failed","2026-07-10","","11-ssl-meta.spec.js","",""
"","299","Главная — <title> заполнен @major","torpedo","2026-07-10","failed","2026-07-10","","11-ssl-meta.spec.js","",""
"","306","/online/broadcasts/2026-02/ — HTTP 200 @minor","torpedo","2026-07-10","failed","2026-07-10","","17-broadcasts.spec.js","",""
"","758","Тренеры /coaches/ отвечает 200 @critical","torpedo","2026-07-10","failed","2026-07-10","","01-availability.spec.js","",""
"","310","Страница /news/ не содержит серверных ошибок в HTML @major","torpedo","2026-07-10","failed","2026-07-10","","02-content.spec.js","",""
"","298","Последняя новость не старше 7 дней @major","torpedo","2026-07-10","failed","2026-07-10","","07-freshness.spec.js","",""
"","409","/ — текст использует Play @minor","torpedo","2026-07-10","failed","2026-07-10","","06-fonts.spec.js","",""
"","311","/tickets/season/ — страница доступна (не 403) @major","torpedo","2026-07-10","failed","2026-07-10","","18-tickets.spec.js","",""
"","304","/season/calendar/ — текст использует Play @minor","torpedo","2026-07-10","failed","2026-07-10","","06-fonts.spec.js","",""
"","323","/news/ — заголовки используют Rodchenko @minor","torpedo","2026-07-10","failed","2026-07-10","","06-fonts.spec.js","",""
"","301","Руководство /leaders/ отвечает 200 @critical","torpedo","2026-07-10","failed","2026-07-10","","01-availability.spec.js","",""
"","442","/ — заголовки используют Rodchenko @minor","torpedo","2026-07-10","failed","2026-07-10","","06-fonts.spec.js","",""
"","287","Блок «Предыдущий матч» — ссылка ведёт на свой домен, не на prod @major","torpedo","2026-07-10","failed","2026-07-10","","19-match-details.spec.js","",""
"","300","Календарь /season/calendar/ отвечает 200 @critical","torpedo","2026-07-10","failed","2026-07-10","","01-availability.spec.js","",""
"","293","Видео: категория «Документальное» не пустая @major","torpedo","2026-07-10","failed","2026-07-10","","15-video-categories.spec.js","",""
"","444","Блок «Предыдущий матч» — страница матча открывается @critical","torpedo","2026-07-10","failed","2026-07-10","","19-match-details.spec.js","",""
"","282","Турнирная таблица /season/tournament_tables/ — нет JS-ошибок в консоли @major","torpedo","2026-07-10","failed","2026-07-10","","09-console-errors.spec.js","",""
